pt_root_id,strategy_axon,cell_type,in_column,curr_num_syn,prev_num_syn,shared_syns
864691136084313196,axon_interareal,L5ET,False,305.0,305.0,305.0
864691136023889209,axon_interareal,L4b,False,1081.0,1081.0,1080.0
864691135565962775,axon_partially_extended,L3a,False,282.0,282.0,282.0
864691135801405282,axon_partially_extended,PTC,False,3898.0,3901.0,3897.0
864691135807579933,axon_interareal,L4a,False,619.0,619.0,619.0
864691136143786292,axon_partially_extended,DTC,True,2072.0,2072.0,2069.0
864691135857099310,axon_partially_extended,L5a,False,919.0,919.0,919.0
864691136445215875,axon_fully_extended,L2a,True,1326.0,1326.0,1324.0
864691136110765496,axon_fully_extended,DTC,True,2195.0,2196.0,2188.0
864691135807648541,axon_partially_extended,DTC,True,471.0,471.0,470.0
864691135495529360,axon_partially_extended,PTC,True,1578.0,1578.0,1574.0
864691135591854347,axon_partially_extended,L5a,False,284.0,285.0,283.0
864691135970206821,axon_partially_extended,L4a,False,608.0,608.0,607.0
864691135739733140,axon_interareal,L4a,False,95.0,95.0,95.0
864691136903144370,axon_interareal,L6short-a,False,1004.0,1004.0,1002.0
864691136136766845,axon_interareal,L3b,False,54.0,54.0,54.0
864691136663528670,axon_partially_extended,L3b,False,489.0,489.0,489.0
864691135356428751,axon_partially_extended,PTC,True,5940.0,5940.0,5929.0
864691136021595384,axon_partially_extended,PTC,True,2997.0,2997.0,2970.0
864691135866145244,axon_partially_extended,L4b,True,751.0,751.0,745.0
864691136143696692,axon_interareal,L2c,False,130.0,130.0,130.0
864691135763975990,axon_partially_extended,DTC,True,2075.0,2075.0,2062.0
864691135915450982,axon_partially_extended,STC,True,183.0,183.0,183.0
864691135105879117,axon_fully_extended,L5ET,False,335.0,335.0,334.0
864691135867905302,axon_partially_extended,L5a,False,510.0,510.0,510.0
864691135214505784,axon_partially_extended,DTC,True,2185.0,2259.0,2176.0
864691135995711402,axon_partially_extended,ITC,True,774.0,774.0,771.0
864691135953985800,axon_interareal,L3b,False,394.0,394.0,394.0
864691135885140848,axon_interareal,L3a,False,313.0,313.0,313.0
864691135809608652,axon_interareal,L5ET,False,663.0,663.0,663.0
864691136723961597,axon_partially_extended,,True,205.0,205.0,203.0
864691134941299811,axon_partially_extended,L2c,False,208.0,208.0,207.0
864691135565770007,axon_partially_extended,DTC,True,542.0,542.0,539.0
864691135503004765,axon_partially_extended,ITC,True,512.0,512.0,512.0
864691135440543560,axon_interareal,L3b,False,591.0,591.0,591.0
864691135755308493,axon_fully_extended,L5a,True,434.0,564.0,371.0
864691136437631902,axon_partially_extended,L5ET,True,121.0,121.0,120.0
864691135938629892,axon_partially_extended,L3a,False,695.0,695.0,695.0
864691135939292981,axon_partially_extended,L4b,False,713.0,714.0,713.0
864691135335855337,axon_partially_extended,L4b,False,324.0,329.0,324.0
864691135885194352,axon_partially_extended,PTC,False,1673.0,1673.0,1670.0
864691135511861968,axon_partially_extended,DTC,True,3865.0,3866.0,3861.0
864691135885406064,axon_fully_extended,L5b,True,792.0,730.0,714.0
864691135938404612,axon_partially_extended,ITC,True,233.0,233.0,232.0
864691134886792442,axon_partially_extended,DTC,True,204.0,204.0,202.0
864691135976155459,axon_partially_extended,STC,True,573.0,573.0,572.0
864691135476718144,axon_partially_extended,PTC,True,5500.0,5500.0,5480.0
864691135697271450,axon_partially_extended,DTC,True,407.0,407.0,407.0
864691136100014453,axon_partially_extended,PTC,False,810.0,810.0,810.0
864691136136766589,axon_interareal,L3a,False,93.0,93.0,93.0
864691135591944203,axon_partially_extended,DTC,True,9323.0,9325.0,9299.0
864691135214160184,axon_partially_extended,ITC,True,320.0,320.0,320.0
864691135446065810,axon_fully_extended,DTC,False,4839.0,4839.0,4836.0
864691137055290998,axon_partially_extended,DTC,True,330.0,330.0,325.0
864691136913135089,axon_partially_extended,PTC,True,1202.0,1202.0,1195.0
864691135938555908,axon_partially_extended,L2c,False,281.0,281.0,281.0
864691135339516390,axon_partially_extended,DTC,True,9032.0,9036.0,9014.0
864691136195284556,axon_fully_extended,DTC,True,4584.0,4584.0,4572.0
864691135772774651,axon_partially_extended,DTC,True,4843.0,4843.0,4834.0
864691135279678881,axon_partially_extended,L6short-a,True,394.0,394.0,394.0
864691136390183696,axon_interareal,L4b,False,264.0,264.0,264.0
864691136724880893,axon_interareal,L3b,False,94.0,94.0,94.0
864691135701624699,axon_interareal,L3a,False,579.0,579.0,579.0
864691135416233914,axon_interareal,L3b,False,131.0,131.0,131.0
864691135101289504,axon_partially_extended,PTC,True,6470.0,6635.0,6457.0
864691135640544571,axon_partially_extended,L5ET,True,285.0,285.0,281.0
864691135276293349,axon_partially_extended,PTC,False,1901.0,1903.0,1900.0
864691135498992403,axon_partially_extended,L4a,False,153.0,157.0,153.0
864691135952121379,axon_interareal,L3b,False,91.0,91.0,91.0
864691135498760723,axon_partially_extended,L5ET,True,181.0,181.0,181.0
864691135996104618,axon_partially_extended,PTC,True,4024.0,4027.0,4019.0
864691135970180709,axon_partially_extended,L2b,False,237.0,237.0,237.0
864691136090326071,axon_fully_extended,L5b,True,2074.0,2074.0,2070.0
864691135970572133,axon_partially_extended,PTC,True,2099.0,2100.0,2094.0
864691136025099065,axon_fully_extended,L3a,True,1658.0,1658.0,1648.0
864691135213953920,axon_partially_extended,PTC,True,2290.0,2290.0,2286.0
864691136275364365,axon_partially_extended,L4c,False,274.0,274.0,274.0
864691135492598623,axon_partially_extended,DTC,True,145.0,145.0,145.0
864691135517531786,axon_interareal,L3a,False,409.0,409.0,408.0
864691135339088102,axon_partially_extended,L4c,False,1603.0,1603.0,1600.0
864691136136778621,axon_interareal,L2c,False,308.0,308.0,308.0
864691136991390869,axon_interareal,L5b,False,698.0,698.0,695.0
864691135927494158,axon_partially_extended,L3b,False,288.0,289.0,286.0
864691135756630226,axon_partially_extended,L5b,False,551.0,553.0,549.0
864691135503182685,axon_fully_extended,L5ET,True,598.0,598.0,595.0
864691135778132576,axon_partially_extended,L5a,False,799.0,799.0,799.0
864691135911028905,axon_partially_extended,L5ET,True,224.0,224.0,221.0
864691136603221201,axon_partially_extended,L4a,False,812.0,701.0,699.0
864691135561619681,axon_partially_extended,PTC,True,2425.0,2425.0,2409.0
864691135511632080,axon_partially_extended,ITC,True,394.0,394.0,394.0
864691135928129236,axon_partially_extended,L4a,False,641.0,592.0,599.0
864691136274635966,axon_partially_extended,DTC,True,3330.0,3316.0,3310.0
864691135816565839,axon_interareal,L3a,False,865.0,865.0,863.0
864691135975633475,axon_interareal,L5b,False,481.0,481.0,481.0
864691135692949951,axon_interareal,L3a,False,341.0,341.0,341.0
864691134884807418,axon_interareal,L3a,False,571.0,571.0,568.0
864691136812081779,axon_interareal,L3a,False,1045.0,1045.0,1044.0
864691135492614239,axon_fully_extended,L4c,False,1616.0,1616.0,1614.0
864691135395833333,axon_partially_extended,ITC,True,221.0,221.0,220.0
864691135654715586,axon_interareal,L3a,False,89.0,89.0,89.0
