pt_root_id,strategy,cell_type,Exc/Inh,num_synapses
864691135539658098,axon_partially_extended,L4c,Exc,251
864691135750273833,axon_partially_extended,L4c,Exc,231
864691136311429978,axon_partially_extended,L4c,Exc,482
864691136101414517,axon_partially_extended,L4c,Exc,246
864691136488888338,axon_partially_extended,L4c,Exc,243
864691135455670122,axon_partially_extended,L4c,Exc,422
864691136274502334,axon_partially_extended,L4c,Exc,311
864691135271405733,axon_partially_extended,L4c,Exc,304
864691135163995949,axon_partially_extended,L4c,Exc,223
864691135308673094,axon_partially_extended,L4c,Exc,429
864691136813414003,axon_partially_extended,L4c,Exc,373
864691135849312350,axon_partially_extended,L4c,Exc,326
864691137055326070,axon_partially_extended,L4c,Exc,417
